# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
yi xiao shi 	一小時	c=4 d=5.56501e-47 t=52095
yi xiao shi hou 	一小時後	c=1 d=1.56794e-56 t=52095
yi xie 	一些	c=23 d=0.00896381 t=52095
yi xin 	一心	c=1 d=5.87166e-31 t=52095
yi yang 	一樣	c=8 d=0.041031 t=52095
yi ye 	一頁	c=2 d=2.64767e-102 t=52095
yi yi 	一一	c=1 d=0.000160054 t=52095
yi yi 	意義	c=5 d=0.126186 t=52095
yi yi shang 	意義上	c=1 d=2.60531e-30 t=52095
yi yin fu 	以音符	c=1 d=3.27291e-08 t=52095
yi yong 	易用	c=1 d=1.96023e-36 t=52095
yi you 	已有	c=9 d=3.5674e-07 t=52095
yi you zhi 	已有值	c=1 d=3.84043e-95 t=52095
yi yue 	一月	c=1 d=1.01716e-53 t=52095
yi ze 	一則	c=1 d=1.77177e-82 t=52095
yi zhang 	一張	c=1 d=5.48852e-91 t=52095
yi zhang 	一章	c=6 d=8.90007e-06 t=52095
yi zhe 	譯者	c=1 d=0.000356206 t=52095
yi zhen 	一幀	c=1 d=2.83048e-64 t=52095
yi zhi 	一直	c=8 d=1.01026e-13 t=52095
yi zhi 	一致	c=19 d=0.0399845 t=52095
yi zhi 	以致	c=1 d=1.33748e-68 t=52095
yi zhi 	已知	c=1 d=3.44214e-101 t=52095
yi zhi 	移植	c=29 d=0.311843 t=52095
yi zhi 	移至	c=4 d=2.27345e-74 t=52095
yi zhi xing 	一致性	c=1 d=7.17975e-103 t=52095
yi zhong 	一種	c=27 d=0.000254197 t=52095
yi zhou 	一週	c=3 d=5.69019e-53 t=52095
yi zui 	一嘴	c=2 d=1.24929e-31 t=52095
yi zuo 	亦作	c=2 d=1.65411e-09 t=52095
yin 	因	c=4 d=4.01934e-68 t=52095
yin 	銀	c=1 d=6.09823e-94 t=52095
yin 	音	c=3 d=1.74029e-77 t=52095
yin biao 	音標	c=2 d=4.99826e-88 t=52095
yin cang 	隱藏	c=1 d=1.84784e-106 t=52095
yin ci 	因此	c=12 d=1.85508e-05 t=52095
yin dao 	引導	c=13 d=1.7652e-09 t=52095
yin dao cheng xu 	引导程序	c=1 d=1.66694e-41 t=52095
yin er 	因而	c=2 d=2.45992e-49 t=52095
yin fa 	引發	c=1 d=1.34496e-16 t=52095
yin fu 	音符	c=0 d=3.25659e-09 t=52095
yin hang 	銀行	c=26 d=0.00667348 t=52095
yin hang ka 	銀行卡	c=2 d=8.12572e-110 t=52095
yin hao 	引號	c=16 d=1.47237e-07 t=52095
yin huan 	隱患	c=3 d=1.18843 t=52095
yin jiao 	引腳	c=38 d=0.305142 t=52095
yin jie 	音節	c=2 d=1.52687e-77 t=52095
yin li 	陰曆	c=7 d=3.81398e-52 t=52095
yin lian 	銀聯	c=1 d=8.51743e-113 t=52095
yin liao 	飲料	c=2 d=3.07404e-112 t=52095
yin pin 	音頻	c=1 d=2.37728e-70 t=52095
yin qing 	引擎	c=9 d=2.83252e-14 t=52095
yin ru 	引入	c=1 d=2.247e-55 t=52095
yin ru le 	引入了	c=2 d=1.24494e-48 t=52095
yin shen 	引申	c=1 d=6.16726e-50 t=52095
yin shu 	因數	c=9 d=3.0645e-10 t=52095
yin shua 	印刷	c=1 d=1.74237e-91 t=52095
yin su 	因素	c=1 d=3.07668e-104 t=52095
yin wei 	因爲	c=28 d=0.369823 t=52095
yin yan 	引言	c=2 d=8.47693e-06 t=52095
yin yang 	陰陽	c=1 d=6.90337e-53 t=52095
yin yang he li 	陰陽合曆	c=1 d=6.93797e-53 t=52095
yin ye fei shi 	因噎廢食	c=1 d=3.12507e-23 t=52095
yin yong 	引用	c=8 d=0.0126512 t=52095
yin yue 	隱約	c=3 d=1.03067e-14 t=52095
yin yue 	音樂	c=6 d=8.85054e-35 t=52095
yin yun 	音韻	c=1 d=2.20086e-104 t=52095
yin yun xue 	音韻學	c=1 d=1.65542e-77 t=52095
yin zhi dian lu ban 	印製電路板	c=1 d=4.60532e-26 t=52095
ying 	應	c=28 d=9.2535e-09 t=52095
ying 	營	c=1 d=0.00557201 t=52095
ying 	硬	c=6 d=1.52975e-23 t=52095
ying 	英	c=2 d=3.08924e-05 t=52095
ying 	迎	c=2 d=1.86521e-69 t=52095
ying cun 	英寸	c=1 d=1.50432e-98 t=52095
ying da 	應答	c=6 d=5.32212e-22 t=52095
ying dang 	應當	c=15 d=1.17798e-23 t=52095
ying du 	硬度	c=1 d=1.32895e-81 t=52095
ying gai 	應該	c=39 d=0.382014 t=52095
ying gai shi 	應該是	c=1 d=1.09206e-36 t=52095
ying guo 	英國	c=1 d=2.75197e-86 t=52095
ying jian 	硬件	c=77 d=0.0580646 t=52095
ying lian 	英蓮	c=1 d=5.41066e-69 t=52095
ying pan 	硬盤	c=33 d=7.35112e-85 t=52095
ying shi 	英式	c=2 d=1.82408e-15 t=52095
ying te er 	英特爾	c=1 d=3.48774e-50 t=52095
ying ti 	硬體	c=1 d=2.09937e-78 t=52095
ying wei 	應爲	c=1 d=3.43523e-48 t=52095
ying wen 	英文	c=20 d=0.000243136 t=52095
ying xiang 	影響	c=14 d=0.00199922 t=52095
ying xiao 	營銷	c=3 d=2.56792e-07 t=52095
ying ye 	營業	c=1 d=1.46448e-47 t=52095
ying ye ting 	營業廳	c=2 d=3.34402e-47 t=52095
ying yong 	應用	c=55 d=3.22455e-08 t=52095
ying yong ceng 	應用層	c=9 d=0.00164502 t=52095
ying yong cheng xu 	應用程序	c=1 d=4.13558e-25 t=52095
ying yu 	應與	c=1 d=5.57467e-38 t=52095
ying yu 	英語	c=21 d=3.38017e-05 t=52095
ying zao 	營造	c=1 d=2.18705e-30 t=52095
yong 	湧	c=1 d=2.6008e-39 t=52095
yong 	用	c=68 d=4.40024e-06 t=52095
yong bu 	永不	c=1 d=3.52808e-97 t=52095
yong bu yong 	用不用	c=1 d=1.20622e-88 t=52095
yong chu 	用處	c=2 d=9.9444e-53 t=52095
yong dao 	用到	c=13 d=0.0153355 t=52095
yong dao le 	用到了	c=1 d=0.154124 t=52095
yong de 	用的	c=3 d=0.111359 t=52095
yong di 	用地	c=2 d=3.31821e-103 t=52095
yong dian 	用電	c=4 d=2.92442e-07 t=52095
yong fa 	用法	c=1 d=1.34752e-09 t=52095
yong guo 	用過	c=4 d=2.59552e-36 t=52095
yong hu 	用戶	c=42 d=0.0505395 t=52095
yong hu ming 	用戶名	c=1 d=3.22528e-12 t=52095
yong lai 	用來	c=17 d=2.39745e-07 t=52095
yong le 	用了	c=1 d=7.17777e-41 t=52095
yong li 	用例	c=1 d=1.48429e-58 t=52095
yong ma 	用嗎	c=2 d=2.50257e-86 t=52095
yong qi 	用其	c=1 d=2.62685e-68 t=52095
yong shui liang 	用水量	c=1 d=2.03241e-79 t=52095
yong tu 	用途	c=1 d=1.55954e-81 t=52095
yong wan 	用完	c=2 d=5.87654e-91 t=52095
yong yong 	用用	c=1 d=1.79055e-59 t=52095
yong you 	擁有	c=1 d=3.34963e-104 t=52095
yong yu 	用於	c=36 d=7.95417e-08 t=52095
yong yuan 	永遠	c=2 d=1.67063e-32 t=52095
yong zhe ge 	用這個	c=1 d=7.11701e-88 t=52095
yong zuo 	用作	c=3 d=4.64735e-74 t=52095
you 	優	c=1 d=1.55393e-68 t=52095
you 	又	c=35 d=0.360779 t=52095
you 	右	c=6 d=2.70298e-09 t=52095
you 	尤	c=1 d=2.23306e-69 t=52095
you 	岫	c=1 d=5.25075e-69 t=52095
you 	有	c=225 d=0.903787 t=52095
you 	由	c=41 d=1.09282 t=52095
you bei 	又被	c=1 d=4.62417e-74 t=52095
you bian 	有變	c=1 d=3.42356e-08 t=52095
you bian 	郵編	c=5 d=3.49685e-73 t=52095
you cheng 	又稱	c=4 d=5.2697e-15 t=52095
you ci 	由此	c=2 d=3.34373e-62 t=52095
you dai 	有待	c=0 d=2.53012e-10 t=52095
you dai tao lun 	有待討論	c=1 d=2.5428e-09 t=52095
you de 	有的	c=2 d=1.45648e-12 t=52095
you dian 	有電	c=1 d=1.01692e-109 t=52095
you dian 	有點	c=13 d=2.98479e-13 t=52095
you dian 	郵電	c=2 d=1.78384e-07 t=52095
you dian di 	有點低	c=1 d=5.57811e-104 t=52095
you dian rao 	有點繞	c=1 d=9.5991e-49 t=52095
you dian shi 	有點事	c=1 d=7.90629e-90 t=52095
you fang 	有方	c=11 d=1.45007e-09 t=52095
you gan lan 	油橄欖	c=1 d=3.7553e-96 t=52095
you ge 	有個	c=6 d=1.1584e-24 t=52095
you gong 	有功	c=23 d=0.000237696 t=52095
you gong gong lv 	有功功率	c=2 d=2.05653e-12 t=52095
you guan 	有關	c=6 d=2.71819e-29 t=52095
you hao 	友好	c=0 d=1.53011e-05 t=52095
you hao ting 	有好聽	c=1 d=1.60682e-50 t=52095
you hou 	右後	c=1 d=4.24505e-97 t=52095
you hou 	油猴	c=3 d=2.97406e-76 t=52095
you hua 	優化	c=99 d=1.20093e-07 t=52095
you hui 	優惠	c=2 d=4.47411e-90 t=52095
you hui 	又會	c=2 d=7.06641e-25 t=52095
you ji 	郵寄	c=1 d=0.00307331 t=52095
you jia 	油價	c=1 d=2.42835e-26 t=52095
you jian 	右鍵	c=4 d=9.39432e-60 t=52095
you jian 	郵件	c=16 d=1.65112e-16 t=52095
you jiang 	又將	c=1 d=1.29262e-49 t=52095
you ke 	又可	c=6 d=1.66098e-14 t=52095
you ke cheng 	又可稱	c=1 d=4.21553e-15 t=52095
you ke neng 	有可能	c=6 d=6.38497e-17 t=52095
you kong 	有空	c=2 d=6.8596e-37 t=52095
you le 	有了	c=1 d=2.30043e-07 t=52095
you le ma 	有了嗎	c=1 d=8.27583e-98 t=52095
you ma 	有嗎	c=2 d=1.0333e-54 t=52095
you mei you 	有沒有	c=14 d=1.50472e-13 t=52095
you ming 	又名	c=1 d=1.5639e-55 t=52095
you ni 	有你	c=1 d=8.8064e-35 t=52095
you qing ren 	有情人	c=1 d=4.12056e-41 t=52095
you qu 	又去	c=1 d=4.18724e-24 t=52095
you qu bie 	有區別	c=1 d=1.42444e-15 t=52095
you ren 	有人	c=2 d=1.49918e-31 t=52095
you shen me 	有什麼	c=2 d=1.43226e-50 t=52095
you sheng 	有聲	c=2 d=1.94595e-69 t=52095
you shi 	優勢	c=4 d=1.58564e-41 t=52095
you shi 	又是	c=2 d=5.86082e-41 t=52095
you shi 	有事	c=1 d=2.5993e-91 t=52095
you shi 	有時	c=2 d=5.94179e-53 t=52095
you shi ge 	有是個	c=1 d=5.62956e-65 t=52095
you shi jian 	有時間	c=2 d=5.7164e-98 t=52095
you shou bian 	右手邊	c=1 d=1.36255e-110 t=52095
you shuo 	有說	c=1 d=4.34244e-11 t=52095
you suo 	有所	c=4 d=0.000399367 t=52095
you tiao jian 	有條件	c=1 d=5.53632e-45 t=52095
you tu 	右圖	c=1 d=1.30966e-56 t=52095
you wei zhong yao 	尤爲重要	c=1 d=3.32747e-26 t=52095
you wen ti 	有問題	c=4 d=1.78999e-26 t=52095
you wu 	有無	c=1 d=1.2583e-56 t=52095
you xi 	遊戲	c=3 d=1.08791e-50 t=52095
you xia jiao 	右下角	c=1 d=3.03716e-99 t=52095
you xian 	優先	c=2 d=9.71225e-43 t=52095
you xian 	有線	c=11 d=5.37652e-24 t=52095
you xian 	有限	c=10 d=0.00337959 t=52095
you xian gong si 	有限公司	c=1 d=5.40347e-24 t=52095
you xian ji 	優先級	c=6 d=7.3479e-11 t=52095
you xian wang 	有線網	c=1 d=1.27073e-54 t=52095
you xiang 	郵箱	c=10 d=3.59848e-06 t=52095
you xiao 	有效	c=10 d=2.30153e-42 t=52095
you xie 	有些	c=4 d=6.30277e-42 t=52095
you xiu 	優秀	c=2 d=2.30435e-27 t=52095
you yao 	又要	c=1 d=9.95424e-94 t=52095
you yi 	右移	c=1 d=7.60663e-106 t=52095
you yi 	遊弋	c=1 d=2.51648e-63 t=52095
you yi ci 	有一次	c=1 d=3.00551e-64 t=52095
you yi dian 	有一點	c=1 d=4.88911e-53 t=52095
you yi ge 	有一個	c=5 d=2.96297e-14 t=52095
you yi ku 	優衣庫	c=2 d=4.7814e-85 t=52095
you yi si 	有意思	c=1 d=6.54061e-65 t=52095
you yi tian 	有一天	c=1 d=8.00259e-56 t=52095
you yong 	游泳	c=2 d=1.17804e-41 t=52095
you yong chi 	游泳池	c=1 d=1.19242e-41 t=52095
you you 	悠悠	c=0 d=0.233448 t=52095
you yu 	由於	c=30 d=4.57068e-08 t=52095
you zhe 	有着	c=1 d=3.05892e-36 t=52095
you zheng 	郵政	c=5 d=1.19568e-73 t=52095
you zhi 	釉質	c=1 d=9.58767e-35 t=52095
you zi 	柚子	c=3 d=2.40567e-92 t=52095
yu 	域	c=5 d=1.83494e-53 t=52095
yu 	彧	c=1 d=3.75618e-40 t=52095
yu 	於	c=40 d=0.000780151 t=52095
yu 	欲	c=0 d=5.37086e-42 t=52095
yu 	毓	c=1 d=3.66344e-40 t=52095
yu 	煜	c=1 d=3.64517e-40 t=52095
yu 	玉	c=5 d=7.47083e-23 t=52095
yu 	與	c=159 d=1.2534 t=52095
yu 	語	c=6 d=1.16147e-31 t=52095
yu 	雨	c=0 d=0.067368 t=52095
yu 	魚	c=1 d=3.60154e-16 t=52095
yu chu li 	預處理	c=4 d=0.000561443 t=52095
yu dao 	遇到	c=0 d=0.0170333 t=52095
yu dao le 	遇到了	c=1 d=0.171187 t=52095
yu duan hun 	欲斷魂	c=1 d=5.39779e-41 t=52095
yu e 	餘額	c=2 d=1.8251e-78 t=52095
yu fa 	語法	c=7 d=1.09774 t=52095
yu fang 	預防	c=1 d=2.14739e-50 t=52095
yu fei 	雨菲	c=1 d=3.09062e-69 t=52095
yu hua 	育華	c=1 d=4.27751e-69 t=52095
yu ju 	語句	c=5 d=0.013912 t=52095
yu lan 	預覽	c=10 d=4.95196e-06 t=52095
yu liu 	預留	c=10 d=3.67143e-28 t=52095
yu mao 	羽毛	c=1 d=1.51366e-112 t=52095
yu ming 	域名	c=4 d=3.06799e-12 t=52095
yu qi 	預期	c=4 d=7.47427e-76 t=52095
yu ran 	裕然	c=1 d=3.62699e-40 t=52095
yu shi 	於是	c=1 d=1.00218e-55 t=52095
yu su 	語素	c=2 d=6.09701e-104 t=52095
yu tang 	玉堂	c=1 d=3.44999e-69 t=52095
yu tang 	魚塘	c=1 d=0.00543443 t=52095
yu xian 	預先	c=3 d=1.43056e-36 t=52095
yu yan 	語言	c=36 d=5.08679e-26 t=52095
yu yi 	予以	c=1 d=9.99255e-51 t=52095
yu yi 	語義	c=2 d=9.86454e-18 t=52095
yu yi hua 	語義化	c=1 d=9.91399e-17 t=52095
yu yin 	語音	c=1 d=7.68202e-75 t=52095
yu yin 	餘音	c=1 d=4.80716e-60 t=52095
yu ying xiao 	與營銷	c=1 d=4.74219e-47 t=52095
yu yong 	御用	c=1 d=1.27402e-55 t=52095
yu yue 	預約	c=2 d=2.78023e-09 t=52095
yu zhi 	與之	c=2 d=0.000251014 t=52095
yu zhi 	閾值	c=21 d=0.00241755 t=52095
yu zhou 	宇宙	c=2 d=4.53042e-30 t=52095
yu zhu zhan 	與主站	c=1 d=1.03127e-68 t=52095
yuan 	元	c=3 d=0.000949097 t=52095
yuan 	原	c=7 d=0.000271921 t=52095
yuan 	員	c=3 d=7.16192e-107 t=52095
yuan 	園	c=3 d=2.34435e-53 t=52095
yuan 	圓	c=2 d=0.00187466 t=52095
yuan 	源	c=20 d=6.16018e-07 t=52095
yuan 	袁	c=2 d=6.46594e-67 t=52095
yuan 	遠	c=4 d=0.0031354 t=52095
yuan 	願	c=1 d=2.83886e-40 t=52095
yuan ban 	原版	c=7 d=0.000550326 t=52095
yuan cheng 	遠程	c=75 d=0.00169699 t=52095
yuan chuan 	遠傳	c=14 d=1.80362e-27 t=52095
yuan chun 	元春	c=1 d=1.95106e-69 t=52095
yuan dan 	元旦	c=2 d=3.05997e-40 t=52095
yuan dian 	圓點	c=1 d=1.03901e-09 t=52095
yuan dong 	遠動	c=2 d=1.58847e-22 t=52095
yuan fang 	遠方	c=1 d=0.0014018 t=52095
yuan gong 	員工	c=3 d=8.90596e-39 t=52095
yuan jia 	原價	c=1 d=1.6212e-96 t=52095
yuan jian 	元件	c=2 d=0.000880518 t=52095
yuan jian 	原件	c=2 d=2.62881e-18 t=52095
yuan ju li 	遠距離	c=1 d=2.40542e-32 t=52095
yuan lai 	原來	c=4 d=1.32417e-68 t=52095
yuan li 	原理	c=23 d=0.0052217 t=52095
yuan li tu 	原理圖	c=3 d=3.9096e-11 t=52095
yuan ma 	源碼	c=21 d=7.61797e-06 t=52095
yuan qu 	園區	c=1 d=7.67523e-94 t=52095
yuan que 	圓缺	c=2 d=6.04344e-53 t=52095
yuan se 	元色	c=1 d=0.000270565 t=52095
yuan sheng 	原生	c=2 d=1.99162e-17 t=52095
yuan shi 	原始	c=29 d=1.39411e-11 t=52095
yuan tou 	源頭	c=1 d=1.59418e-16 t=52095
yuan wai 	員外	c=1 d=5.42023e-31 t=52095
yuan wen 	原文	c=1 d=5.56235e-12 t=52095
yuan wen jian 	源文件	c=1 d=0.0134335 t=52095
yuan xi 	院系	c=1 d=3.51669e-59 t=52095
yuan xian 	原先	c=15 d=6.16668e-11 t=52095
yuan xiao 	院校	c=1 d=9.43499e-52 t=52095
yuan yin 	原因	c=38 d=0.331527 t=52095
yuan yin le 	原因了	c=1 d=7.85081e-66 t=52095
yuan you 	原有	c=4 d=2.66755e-43 t=52095
yuan ze 	原則	c=2 d=1.87857e-06 t=52095
yuan zhu 	原著	c=1 d=5.45e-66 t=52095
yue 	悅	c=1 d=2.809e-92 t=52095
yue 	月	c=23 d=0.0049482 t=52095
yue 	閱	c=1 d=1.13543e-53 t=52095
yue da 	越大	c=1 d=3.48418e-38 t=52095
yue du 	月度	c=1 d=5.19745e-96 t=52095
yue du 	閱讀	c=20 d=0.000252043 t=52095
yue gao 	越高	c=1 d=3.53684e-38 t=52095
yue gong 	月供	c=1 d=1.71025e-78 t=52095
yue he 	約合	c=3 d=8.25329e-53 t=52095
yue li 	樂理	c=1 d=3.34928e-44 t=52095
yue liang 	月亮	c=3 d=8.54023e-53 t=52095
yue pu 	樂譜	c=1 d=8.76247e-35 t=52095
yue se 	悅色	c=0 d=2.82308e-93 t=52095
yue xiang 	月相	c=1 d=3.5149e-53 t=52095
yun 	暈	c=2 d=1.24597e-103 t=52095
yun 	運	c=2 d=5.0716e-111 t=52095
yun 	雲	c=18 d=3.27144e-09 t=52095
yun 	韻	c=4 d=3.40315e-77 t=52095
yun dong yuan 	運動員	c=1 d=0.00657159 t=52095
yun duan 	雲端	c=3 d=4.97513e-79 t=52095
yun fu 	韻腹	c=1 d=1.63044e-104 t=52095
yun mu 	韻母	c=6 d=4.0823e-77 t=52095
yun pan 	雲盤	c=1 d=4.5922e-110 t=52095
yun ping tai 	雲平臺	c=4 d=5.29193e-50 t=52095
yun shen 	韻身	c=1 d=1.68886e-77 t=52095
yun suan 	運算	c=4 d=4.36198e-05 t=52095
yun tou 	韻頭	c=1 d=1.68043e-77 t=52095
yun xing 	運行	c=66 d=0.00560532 t=52095
yun xing shi 	運行時	c=1 d=1.99183e-77 t=52095
yun xu 	允許	c=14 d=2.19297e-27 t=52095
yun zuo 	運作	c=1 d=1.6452e-63 t=52095
za 	咋	c=5 d=2.08903e-20 t=52095
za ban 	咋辦	c=1 d=5.53555e-14 t=52095
za hui shi 	咋回事	c=2 d=2.4867e-70 t=52095
za le 	咋了	c=5 d=4.61866e-60 t=52095
za nong 	咋弄	c=2 d=6.72742e-14 t=52095
za qi za ba 	雜七雜八	c=3 d=2.11584e-15 t=52095
za xiang 	雜項	c=2 d=2.97266e-23 t=52095
za yang 	咋樣	c=2 d=1.95372e-85 t=52095
zai 	再	c=51 d=1.09221e-08 t=52095
zai 	在	c=406 d=1.81286 t=52095
zai 	災	c=1 d=2.0845e-112 t=52095
zai 	載	c=11 d=4.13365e-11 t=52095
zai bo 	載波	c=9 d=0.360301 t=52095
zai ci 	再次	c=14 d=4.13303e-14 t=52095
zai ci 	在此	c=14 d=0.000160835 t=52095
zai ci ji chu 	再次基礎	c=1 d=4.13136e-13 t=52095
zai dao 	再到	c=1 d=3.11521e-74 t=52095
zai du 	在讀	c=1 d=8.62733e-58 t=52095
zai dui 	在對	c=1 d=4.8214e-36 t=52095
zai hang 	在行	c=1 d=1.49819e-50 t=52095
zai jia 	在家	c=1 d=1.5436e-19 t=52095
zai jie zai li 	再接再厲	c=1 d=8.4565e-58 t=52095
zai lai 	再來	c=1 d=3.19071e-91 t=52095
zai na 	在哪	c=2 d=3.117e-22 t=52095
zai nei 	在內	c=1 d=6.68546e-58 t=52095
zai qu 	再去	c=2 d=1.70264e-55 t=52095
zai ru 	載入	c=1 d=1.1934e-80 t=52095
zai shuo 	再說	c=7 d=5.77579e-57 t=52095
zai ti 	載體	c=1 d=4.54681e-52 t=52095
zai xi tong 	在系統	c=1 d=3.24024e-37 t=52095
zai xia 	在下	c=2 d=1.30628e-55 t=52095
zai xian 	在線	c=45 d=0.0016504 t=52095
zai xian wen dang 	在線文檔	c=1 d=8.45335e-83 t=52095
zai ye 	再也	c=1 d=5.49746e-21 t=52095
zai yi 	再議	c=1 d=2.92056e-109 t=52095
zai yi 	在意	c=1 d=8.1086e-05 t=52095
zai ying yong 	在應用	c=1 d=3.27281e-37 t=52095
zai you yu 	在猶豫	c=1 d=2.00222e-50 t=52095
zai yu 	在於	c=13 d=1.35299e-16 t=52095
zai zhe 	在這	c=2 d=2.54748e-60 t=52095
zai zhe ge 	在這個	c=1 d=1.07131e-75 t=52095
zai zhe li 	在這裏	c=2 d=1.20065e-63 t=52095
zai zuo 	在做	c=1 d=0.267135 t=52095
zan 	暫	c=3 d=1.62944e-38 t=52095
zan 	讚	c=1 d=1.74926e-108 t=52095
zan bu 	暫不	c=8 d=1.29723e-08 t=52095
zan de 	咱的	c=1 d=2.27553e-26 t=52095
zan ding 	暫定	c=1 d=4.87747e-25 t=52095
zan men 	咱們	c=10 d=7.24707e-05 t=52095
zan qian 	攢錢	c=2 d=6.35072e-96 t=52095
zan qie 	暫且	c=1 d=3.60437e-84 t=52095
zan shi 	暫時	c=4 d=5.0416e-32 t=52095
zan ting 	暫停	c=2 d=2.03553e-97 t=52095
zan wei 	暫未	c=1 d=2.03727e-09 t=52095
zan wei que ding 	暫未確定	c=1 d=6.84444e-11 t=52095
zao 	早	c=3 d=1.92344e-19 t=52095
zao 	造	c=2 d=8.58897e-35 t=52095
zao cheng 	造成	c=5 d=0.639595 t=52095
zao cheng de 	造成的	c=1 d=0.479505 t=52095
zao nian 	早年	c=2 d=1.15477e-30 t=52095
zao qi 	早期	c=4 d=1.81302e-65 t=52095
zao ren 	造人	c=1 d=8.30317e-78 t=52095
zao shang 	早上	c=1 d=1.49397e-105 t=52095
zao sheng 	噪聲	c=2 d=3.12274e-73 t=52095
zao sheng 	早生	c=1 d=7.13567e-60 t=52095
zao shou 	遭受	c=1 d=1.44883e-97 t=52095
zao yi 	早已	c=1 d=2.18958e-73 t=52095
zao yu 	早於	c=1 d=5.58227e-54 t=52095
ze 	則	c=76 d=7.19237e-07 t=52095
ze shi 	則是	c=2 d=3.1305e-14 t=52095
zei 	賊	c=1 d=6.86638e-78 t=52095
zen me 	怎麼	c=32 d=3.78574e-05 t=52095
zen me yang 	怎麼樣	c=1 d=4.12139e-14 t=52095
zen yang 	怎樣	c=4 d=1.618e-14 t=52095
zeng 	增	c=1 d=3.00653e-68 t=52095
zeng bu 	增補	c=1 d=6.48257e-19 t=52095
zeng jia 	增加	c=8 d=1.19905e-18 t=52095
zeng liang 	增量	c=1 d=6.41656e-75 t=52095
zeng qiang 	增強	c=1 d=3.53552e-63 t=52095
zeng shan 	增刪	c=2 d=1.1812e-18 t=52095
zha 	渣	c=1 d=5.03286e-41 t=52095
zha 	閘	c=9 d=9.75713e-94 t=52095
zha dao 	閘刀	c=1 d=1.29534e-15 t=52095
zha wei 	閘位	c=20 d=0.183613 t=52095
zha zha 	渣渣	c=1 d=4.88162e-41 t=52095
zhai dai 	窄帶	c=2 d=5.26093e-33 t=52095
zhai dai wu lian wang 	窄帶物聯網	c=1 d=1.43597e-51 t=52095
zhai zi 	摘自	c=1 d=2.83847e-09 t=52095
zhan 	佔	c=6 d=1.25989e-12 t=52095
zhan 	展	c=2 d=0.000555857 t=52095
zhan 	站	c=2 d=2.2619e-35 t=52095
zhan bi 	佔比	c=2 d=1.15055e-82 t=52095
zhan dian 	站點	c=5 d=3.39065e-12 t=52095
zhan ji 	戰機	c=1 d=2.5194e-106 t=52095
zhan ji 	戰績	c=1 d=5.27006e-24 t=52095
zhan ju 	佔據	c=1 d=1.37535e-73 t=52095
zhan nei cun 	佔內存	c=1 d=7.74735e-57 t=52095
zhan shi 	展示	c=2 d=2.89011e-68 t=52095
zhan tie 	粘貼	c=4 d=1.65294e-30 t=52095
zhan yong 	佔用	c=16 d=5.29011e-37 t=52095
zhang 	張	c=21 d=4.50575e-29 t=52095
zhang 	漲	c=2 d=5.08505e-85 t=52095
zhang 	章	c=9 d=6.59462e-05 t=52095
zhang 	長	c=3 d=1.84278e-68 t=52095
zhang 	障	c=1 d=2.61678e-111 t=52095
zhang chu lai 	長出來	c=1 d=1.40825e-57 t=52095
zhang hao 	帳號	c=14 d=2.73991e-05 t=52095
zhang hu 	賬戶	c=11 d=0.00142298 t=52095
zhang ji 	掌機	c=5 d=2.50358e-32 t=52095
zhang jia 	漲價	c=1 d=3.41613e-100 t=52095
zhang jia gang 	張家港	c=1 d=1.29552e-46 t=52095
zhang jian 	張謇	c=1 d=1.34867e-19 t=52095
zhang jie 	章節	c=11 d=2.46086e-06 t=52095
zhang lang 	蟑螂	c=1 d=7.83695e-104 t=52095
zhang qiu 	章丘	c=1 d=3.09105e-100 t=52095
zhang san 	張三	c=24 d=5.35074e-08 t=52095
zhang si an 	張斯岸	c=1 d=5.18156e-60 t=52095
zhang zi 	長子	c=7 d=4.08994e-68 t=52095
zhao 	兆	c=2 d=1.68026e-17 t=52095
zhao 	召	c=1 d=3.83194e-69 t=52095
zhao 	找	c=14 d=7.59831e-05 t=52095
zhao 	朝	c=1 d=4.43426e-110 t=52095
zhao 	照	c=2 d=5.30748e-19 t=52095
zhao 	趙	c=14 d=0.0124859 t=52095
zhao an 	招安	c=1 d=1.49508e-55 t=52095
zhao biao 	招標	c=1 d=1.20794e-46 t=52095
zhao bu dao 	找不到	c=2 d=1.57045e-16 t=52095
zhao bu zhao 	找不着	c=1 d=4.97992e-93 t=52095
zhao ce 	召測	c=2 d=1.5816e-11 t=52095
zhao chang shou 	趙長收	c=1 d=6.34968e-40 t=52095
zhao dao 	找到	c=15 d=0.423226 t=52095
zhao de 	找得	c=1 d=1.92338e-48 t=52095
zhao ge 	找個	c=6 d=8.49166e-48 t=52095
zhao hao 	找好	c=1 d=7.94161e-113 t=52095
zhao hu 	招呼	c=1 d=2.04266e-50 t=52095
zhao jing 	趙靜	c=1 d=1.56501e-34 t=52095
zhao le 	找了	c=2 d=1.32674e-32 t=52095
zhao ni 	找你	c=1 d=8.26738e-86 t=52095
zhao pian 	照片	c=3 d=4.64535e-97 t=52095
zhao re 	招惹	c=1 d=1.71117e-55 t=52095
zhao ren 	找人	c=1 d=2.18475e-47 t=52095
zhao shang 	招商	c=5 d=2.8848e-23 t=52095
zhao shui 	找誰	c=1 d=3.1666e-90 t=52095
zhao si 	趙四	c=3 d=1.37022e-29 t=52095
