# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
jie gou 	結構	c=25 d=1.56617 t=21961
jie gou ti 	結構體	c=2 d=1.17108e-05 t=21961
jie guo 	結果	c=24 d=0.449473 t=21961
jie jue 	解決	c=21 d=0.6869 t=21961
jie kou 	接口	c=13 d=0.506617 t=21961
jie lun 	結論	c=1 d=0.000199439 t=21961
jie mian 	界面	c=1 d=1.26599e-10 t=21961
jie shou 	接受	c=2 d=4.56968e-07 t=21961
jie shou 	接收	c=86 d=3.66098 t=21961
jie shou dao 	接受到	c=1 d=5.04348e-07 t=21961
jie shu 	結束	c=8 d=0.42005 t=21961
jie suan 	結算	c=0 d=2.71588e-20 t=21961
jie suan ri 	結算日	c=1 d=2.7295e-19 t=21961
jie ti 	階梯	c=1 d=2.35378e-12 t=21961
jie tou 	接頭	c=1 d=2.12025e-18 t=21961
jie wei 	結尾	c=1 d=1.04439e-11 t=21961
jie xi 	解析	c=14 d=1.98188 t=21961
jie ye 	結業	c=1 d=8.11689e-17 t=21961
jie yong 	借用	c=1 d=0.00504176 t=21961
jie zhen 	解幀	c=1 d=0.000252273 t=21961
jin 	僅	c=30 d=0.393676 t=21961
jin 	近	c=1 d=5.42502e-12 t=21961
jin dang 	僅當	c=4 d=0.207702 t=21961
jin du 	進度	c=1 d=7.78113e-20 t=21961
jin er 	進而	c=2 d=8.85894e-07 t=21961
jin gang 	金剛	c=1 d=9.24059e-13 t=21961
jin jie zhe 	緊接着	c=1 d=0.0495388 t=21961
jin jin 	僅僅	c=1 d=0.554327 t=21961
jin kao 	僅靠	c=1 d=0.00873865 t=21961
jin ke neng 	儘可能	c=1 d=0.000413853 t=21961
jin kou liang 	進口量	c=0 d=2.70565e-05 t=21961
jin kuai 	儘快	c=3 d=0.597501 t=21961
jin liang 	儘量	c=1 d=1.62666e-18 t=21961
jin qi 	近期	c=1 d=0.594521 t=21961
jin ri 	今日	c=0 d=2.77603e-13 t=21961
jin ri fen 	今日份	c=1 d=2.78994e-12 t=21961
jin ru 	進入	c=31 d=1.55743 t=21961
jin shen 	謹慎	c=0 d=1.20695e-08 t=21961
jin tian 	今天	c=7 d=2.3548 t=21961
jin xing 	進行	c=75 d=1.76698 t=21961
jin xing ni ge 	進行你個	c=1 d=0.212248 t=21961
jin yong 	禁用	c=4 d=0.000602152 t=21961
jin yong yu 	僅用於	c=3 d=8.39743e-05 t=21961
jin zai 	盡在	c=1 d=0.000251014 t=21961
jin zhi 	禁止	c=4 d=6.8975e-06 t=21961
jin zhi 	進制	c=1 d=1.74283e-06 t=21961
jin zi ta 	金字塔	c=2 d=4.40126e-31 t=21961
jing 	徑	c=1 d=3.30053e-48 t=21961
jing 	精	c=1 d=0.123687 t=21961
jing 	經	c=5 d=0.0357931 t=21961
jing chang 	經常	c=2 d=5.18761e-05 t=21961
jing du 	精度	c=3 d=1.97602e-05 t=21961
jing gao 	警告	c=9 d=0.000182184 t=21961
jing guo 	經過	c=3 d=0.0314298 t=21961
jing jian 	精簡	c=1 d=0.806541 t=21961
jing ling 	精靈	c=3 d=4.09877e-31 t=21961
jing neng 	竟能	c=1 d=1.32723e-07 t=21961
jing ran 	竟然	c=4 d=0.0292494 t=21961
jing shui 	淨水	c=1 d=2.23822e-08 t=21961
jing tai 	靜態	c=7 d=0.726149 t=21961
jing xiang 	鏡像	c=4 d=3.902e-19 t=21961
jing ying 	精英	c=2 d=2.79762e-07 t=21961
jing zhun 	精準	c=1 d=0.0315873 t=21961
jiu 	就	c=37 d=0.704218 t=21961
jiu 	舊	c=10 d=0.000596167 t=21961
jiu ban 	舊版	c=1 d=5.67279e-08 t=21961
jiu ci 	就此	c=1 d=3.91839e-08 t=21961
jiu gou le 	就夠了	c=0 d=0.00152985 t=21961
jiu hui 	就會	c=1 d=0.000523486 t=21961
jiu lai 	就來	c=1 d=3.99755e-08 t=21961
jiu ru 	就如	c=0 d=1.70067e-13 t=21961
jiu ru tong 	就如同	c=1 d=1.70919e-12 t=21961
jiu shi 	就是	c=17 d=0.329559 t=21961
jiu wei 	就位	c=4 d=0.878095 t=21961
jiu wei hou 	就位後	c=1 d=0.000871757 t=21961
jiu xiang 	就像	c=1 d=0.0154523 t=21961
jiu yong 	就用	c=1 d=0.0126512 t=21961
jiu you 	就有	c=1 d=0.000611253 t=21961
jiu yue 	九月	c=1 d=6.16326e-13 t=21961
jiu zheng 	糾正	c=1 d=9.49258e-06 t=21961
ju 	具	c=1 d=2.43762e-12 t=21961
ju bei 	具備	c=10 d=0.00441598 t=21961
ju bu 	局部	c=2 d=0.729789 t=21961
ju da 	巨大	c=1 d=0.180866 t=21961
ju dong 	舉動	c=2 d=0.00410726 t=21961
ju jin 	距今	c=1 d=5.39796e-12 t=21961
ju li 	舉栗	c=1 d=2.07685e-10 t=21961
ju li 	距離	c=1 d=1.60163e-12 t=21961
ju mian 	局面	c=1 d=1.15962e-07 t=21961
ju min 	居民	c=0 d=5.2338e-32 t=21961
ju te 	具特	c=1 d=0.00296761 t=21961
ju ti 	具體	c=6 d=0.163654 t=21961
ju xian xing 	侷限性	c=1 d=2.17769e-09 t=21961
ju you 	具有	c=2 d=0.106992 t=21961
ju zhu 	居住	c=3 d=3.48944e-16 t=21961
jue de 	覺得	c=2 d=0.0104621 t=21961
jue ding 	決定	c=1 d=0.000893825 t=21961
jun 	均	c=15 d=0.606531 t=21961
jun ke 	均可	c=1 d=0.0086517 t=21961
jun wei 	均爲	c=1 d=1.05489e-11 t=21961
ka 	卡	c=15 d=0.00590778 t=21961
ka si 	卡死	c=0 d=7.15825e-10 t=21961
ka si zai 	卡死在	c=1 d=7.19413e-09 t=21961
kai 	開	c=9 d=0.0412486 t=21961
kai duan kou 	開端口	c=1 d=9.6128e-07 t=21961
kai fa 	開發	c=51 d=2.4556 t=21961
kai fa 	開閥	c=3 d=0.0323571 t=21961
kai fa hou 	開閥後	c=2 d=0.449201 t=21961
kai fa wen dang 	開發文檔	c=2 d=0.000560432 t=21961
kai fa zhong 	開發中	c=1 d=1.52326e-10 t=21961
kai ge 	開個	c=2 d=0.0399551 t=21961
kai guan 	開關	c=7 d=0.00224287 t=21961
kai guan fa 	開關閥	c=1 d=7.25508e-20 t=21961
kai hui 	開會	c=1 d=3.42647e-18 t=21961
kai hun 	開葷	c=1 d=1.0795e-47 t=21961
kai le 	開了	c=1 d=7.07234e-14 t=21961
kai qi 	開啓	c=12 d=1.06966 t=21961
kai shi 	開始	c=22 d=0.976231 t=21961
kai tian pi di 	開天闢地	c=1 d=2.13857e-31 t=21961
kai tou 	開頭	c=3 d=4.83952e-06 t=21961
kan 	看	c=8 d=0.394948 t=21961
kan bu liao 	看不了	c=1 d=0.0824965 t=21961
kan dai 	看待	c=1 d=9.16765e-08 t=21961
kan dao 	看到	c=5 d=0.304221 t=21961
kan guo 	看過	c=1 d=1.64245e-14 t=21961
kan kan 	看看	c=7 d=0.00103581 t=21961
kan men gou 	看門狗	c=1 d=9.37386e-05 t=21961
kan si 	看似	c=1 d=3.76603e-12 t=21961
kan yi xia 	看一下	c=4 d=0.00794747 t=21961
kan zhe 	看着	c=1 d=0.108609 t=21961
kao bei 	拷備	c=1 d=4.30889e-08 t=21961
kao bei 	拷貝	c=11 d=0.19593 t=21961
kao lv 	考慮	c=8 d=0.00909528 t=21961
kao lv dao 	考慮到	c=1 d=1.48949e-11 t=21961
ke 	可	c=14 d=0.740701 t=21961
ke 	顆	c=2 d=1.5257e-10 t=21961
ke gong 	可供	c=1 d=0.00540733 t=21961
ke hu 	客戶	c=3 d=0.000623601 t=21961
ke hu duan 	客戶端	c=10 d=6.73702e-06 t=21961
ke hu ji 	客戶機	c=1 d=4.91895e-07 t=21961
ke ji 	科技	c=2 d=2.90093e-22 t=21961
ke jian 	可見	c=4 d=8.3972e-05 t=21961
ke lai yin 	克萊因	c=2 d=0.388768 t=21961
ke li si 	克利斯	c=1 d=2.38935e-12 t=21961
ke neng 	可能	c=13 d=1.14498 t=21961
ke pu 	科普	c=3 d=4.5925e-22 t=21961
ke qu 	可取	c=1 d=3.23143e-05 t=21961
ke she 	可設	c=3 d=2.4874 t=21961
ke shi 	可是	c=1 d=1.44071e-31 t=21961
ke ti 	殼體	c=1 d=4.2711e-22 t=21961
ke wei hu 	可維護	c=1 d=1.512e-11 t=21961
ke xiao 	可笑	c=1 d=0.00504176 t=21961
ke xie 	可寫	c=2 d=0.000432902 t=21961
ke xing 	可行	c=3 d=0.00625628 t=21961
ke xing de 	可行的	c=1 d=2.68055e-12 t=21961
ke xuan 	可選	c=1 d=1.19303e-47 t=21961
ke xue 	科學	c=3 d=4.73754e-22 t=21961
ke xue jia 	科學家	c=1 d=1.57317e-07 t=21961
ke yi 	可以	c=68 d=1.59036 t=21961
ke yi de 	可以的	c=2 d=0.00336703 t=21961
ke yi le 	可以了	c=1 d=0.000124028 t=21961
ke yi shuo shi 	可以說是	c=1 d=2.77358e-31 t=21961
ke yong 	可用	c=2 d=3.43459e-07 t=21961
ke yong dao 	可用到	c=1 d=1.39286e-16 t=21961
ke zhi 	客制	c=1 d=1.67535e-12 t=21961
ke zhi hua 	客製化	c=4 d=0.099138 t=21961
ken 	肯	c=1 d=1.69132e-06 t=21961
ken ding 	肯定	c=1 d=0.344728 t=21961
kong 	控	c=3 d=1.75628 t=21961
kong 	空	c=4 d=0.060205 t=21961
kong fa 	控閥	c=18 d=2.68987 t=21961
kong ge 	空格	c=3 d=6.00515e-10 t=21961
kong jian 	空間	c=9 d=0.0243554 t=21961
kong qi 	空氣	c=1 d=7.92592e-31 t=21961
kong xia 	空下	c=1 d=1.22878e-12 t=21961
kong xian 	空閒	c=14 d=2.10432 t=21961
kong xian tai 	空閒態	c=1 d=0.0682212 t=21961
kong xin 	空心	c=1 d=3.72526e-31 t=21961
kong zhi 	控制	c=34 d=1.66316 t=21961
kong zhi lei 	控制類	c=1 d=1.06018e-11 t=21961
kong zhi ma 	控制碼	c=7 d=5.22312e-07 t=21961
kou 	口	c=17 d=0.189191 t=21961
kou jing 	口徑	c=2 d=6.48673e-48 t=21961
kou zhu bi fa 	口誅筆伐	c=1 d=1.45222e-07 t=21961
ku 	庫	c=5 d=0.327915 t=21961
ku cun 	庫存	c=1 d=1.31063e-06 t=21961
kua 	跨	c=1 d=2.94869e-16 t=21961
kuai 	塊	c=8 d=0.437775 t=21961
kuai 	快	c=1 d=1.86691e-21 t=21961
kuai biao 	塊表	c=1 d=0.222017 t=21961
kuai jie 	快捷	c=4 d=0.315894 t=21961
kuai jie jian 	快捷鍵	c=8 d=0.0958736 t=21961
kuai jie jian miao 	快捷鍵秒	c=1 d=8.78993e-13 t=21961
kuai su 	快速	c=1 d=1.62556e-10 t=21961
kuang jia 	框架	c=6 d=0.239309 t=21961
kun huo 	困惑	c=3 d=4.40084e-12 t=21961
kuo chong 	擴充	c=7 d=0.00991361 t=21961
kuo chong le 	擴充了	c=1 d=0.00637737 t=21961
kuo hao 	括號	c=1 d=0.000773179 t=21961
kuo zeng 	擴增	c=1 d=0.463193 t=21961
kuo zeng hou 	擴增後	c=1 d=1.12203e-31 t=21961
kuo zhan 	擴展	c=15 d=0.0199047 t=21961
kuo zhan ceng 	擴展層	c=1 d=0.0192547 t=21961
la 	啦	c=1 d=1.63446e-20 t=21961
la 	拉	c=1 d=2.09879e-16 t=21961
la li 	拉力	c=1 d=1.82553e-22 t=21961
la qu 	拉取	c=1 d=8.14925e-05 t=21961
lai 	來	c=25 d=0.228779 t=21961
lai chu li 	來處理	c=1 d=0.000315927 t=21961
lai hui 	來回	c=1 d=2.13384e-05 t=21961
lai kan 	來看	c=2 d=0.00833161 t=21961
lai shi 	來世	c=1 d=1.92541e-31 t=21961
lai shi 	來時	c=1 d=1.9158e-31 t=21961
lai shuo 	來說	c=2 d=0.00970611 t=21961
lai yuan 	來源	c=1 d=0.189191 t=21961
lai zi 	來自	c=3 d=0.579493 t=21961
lan 	藍	c=2 d=0.390717 t=21961
lan 	蘭	c=1 d=0.162838 t=21961
lan ping 	藍屏	c=1 d=1.56155e-08 t=21961
lan tu hui 	蘭圖繪	c=1 d=2.44351e-11 t=21961
lan ya 	藍牙	c=3 d=0.121238 t=21961
lao shen 	勞神	c=0 d=0.00539337 t=21961
lao shen shang cai 	勞神傷財	c=1 d=0.054204 t=21961
lao shi 	老師	c=9 d=3.64794e-07 t=21961
le 	了	c=112 d=1.38429 t=21961
le 	勒	c=2 d=6.42927e-20 t=21961
le ma 	了嗎	c=2 d=0.0930145 t=21961
le qing 	樂清	c=1 d=0.000720907 t=21961
le xian 	勒銜	c=1 d=0.000428594 t=21961
le yi xia 	了一下	c=1 d=4.56897e-21 t=21961
lei 	嘞	c=1 d=0.0441572 t=21961
lei 	類	c=20 d=0.425283 t=21961
lei bie 	類別	c=7 d=0.0205589 t=21961
lei ji 	累積	c=8 d=2.35831e-05 t=21961
lei jia 	累加	c=1 d=0.0194482 t=21961
lei si 	類似	c=5 d=0.0135044 t=21961
lei si yu 	類似於	c=2 d=0.00551656 t=21961
lei xing 	類型	c=88 d=1.22054 t=21961
leng shui 	冷水	c=2 d=0.00727326 t=21961
li 	例	c=1 d=2.11405e-13 t=21961
li 	哩	c=1 d=2.67363e-11 t=21961
li 	李	c=2 d=0.794534 t=21961
li 	理	c=1 d=1.88863e-10 t=21961
li 	粒	c=1 d=2.68703e-11 t=21961
li 	裏	c=1 d=0.0362402 t=21961
li 	里	c=1 d=8.61587e-13 t=21961
li 	離	c=1 d=7.75576e-11 t=21961
li 	麗	c=1 d=2.10931e-16 t=21961
li bian 	裏邊	c=1 d=0.000100535 t=21961
li cheng 	例程	c=1 d=0.000599149 t=21961
li de 	裏的	c=1 d=0.0241131 t=21961
li he 	離合	c=0 d=3.09282e-49 t=21961
li ji 	立即	c=13 d=0.117662 t=21961
li jie 	理解	c=2 d=0.022091 t=21961
li la 	里拉	c=1 d=1.45069e-24 t=21961
li liang 	力量	c=1 d=2.30513e-31 t=21961
li lun 	理論	c=3 d=0.0108797 t=21961
li lun zhong 	理論中	c=1 d=0.00932553 t=21961
li ma 	立馬	c=1 d=0.865022 t=21961
li mian 	裏面	c=0 d=3.7627e-32 t=21961
li ru 	例如	c=2 d=0.489192 t=21961
li san 	離散	c=3 d=5.59434e-17 t=21961
li shi 	歷史	c=6 d=0.00771183 t=21961
li wei 	李偉	c=1 d=0.000754089 t=21961
li xiang 	理想	c=5 d=0.000403816 t=21961
li you 	理由	c=1 d=9.8659e-48 t=21961
lian 	聯	c=1 d=7.79066e-06 t=21961
lian da 	連打	c=1 d=9.97556e-31 t=21961
lian dai 	連帶	c=1 d=2.37008e-05 t=21961
lian he 	聯合	c=5 d=0.00200924 t=21961
lian he ti 	聯合體	c=5 d=4.74966e-16 t=21961
lian jie 	連接	c=19 d=0.583532 t=21961
lian jie 	鏈接	c=2 d=0.287941 t=21961
lian lu 	鏈路	c=25 d=1.81989 t=21961
lian lu ceng 	鏈路層	c=7 d=0.913931 t=21961
lian meng 	聯盟	c=6 d=9.10107e-22 t=21961
lian shang 	連上	c=1 d=2.62613e-06 t=21961
lian tiao 	聯調	c=2 d=0.0776922 t=21961
lian wang 	聯網	c=0 d=2.22668e-07 t=21961
lian xi 	聯繫	c=2 d=0.000655574 t=21961
liang 	亮	c=1 d=0.0692522 t=21961
liang 	兩	c=3 d=0.995012 t=21961
liang 	輛	c=1 d=9.99117e-20 t=21961
liang 	量	c=10 d=0.0737241 t=21961
liang deng 	亮燈	c=1 d=0.0724398 t=21961
liang ge 	兩個	c=7 d=1.01031 t=21961
liang lu 	兩路	c=3 d=5.78739e-08 t=21961
liang qian 	兩千	c=1 d=0.0258615 t=21961
liang qian duo 	兩千多	c=0 d=2.03427e-32 t=21961
liang qian duo nian 	兩千多年	c=1 d=2.04447e-31 t=21961
liang tai 	兩臺	c=5 d=0.611 t=21961
liang tao 	兩套	c=7 d=0.471689 t=21961
liang wei 	兩位	c=1 d=5.53474e-11 t=21961
liang zhe 	兩者	c=1 d=0.000199439 t=21961
liang zhi 	兩隻	c=1 d=1.27893e-12 t=21961
liang zhong 	兩種	c=8 d=0.348192 t=21961
liang zi 	兩字	c=0 d=6.45024e-20 t=21961
liang zi jie 	兩字節	c=2 d=3.06799e-13 t=21961
liao jie 	瞭解	c=4 d=0.0285566 t=21961
liao jie dao 	瞭解到	c=1 d=0.0413782 t=21961
lie 	列	c=3 d=1.03692e-07 t=21961
lie biao 	列表	c=2 d=0.169483 t=21961
lie chu 	列出	c=2 d=1.6169e-06 t=21961
lie shi 	劣勢	c=1 d=0.0140519 t=21961
lin chu 	拎出	c=1 d=2.93958e-09 t=21961
lin jie 	臨界	c=0 d=9.59451e-15 t=21961
lin jie qu 	臨界區	c=1 d=9.64261e-14 t=21961
lin li 	林立	c=1 d=3.32984e-05 t=21961
lin lie 	凜冽	c=1 d=3.8773e-31 t=21961
lin shi 	臨時	c=1 d=3.73884e-15 t=21961
ling 	〇	c=16 d=0.726294 t=21961
ling 	令	c=3 d=5.19485e-05 t=21961
ling 	另	c=5 d=3.21728e-05 t=21961
ling 	零	c=8 d=2.31304 t=21961
ling chang 	零長	c=9 d=0.0271048 t=21961
ling chen 	凌晨	c=1 d=2.49712e-31 t=21961
ling dao 	領導	c=1 d=0.0880368 t=21961
ling dian 	零點	c=1 d=1.41415e-18 t=21961
ling hun 	靈魂	c=6 d=9.57993e-31 t=21961
ling huo 	靈活	c=1 d=0.0229371 t=21961
ling pai 	令牌	c=21 d=0.000450716 t=21961
ling ren 	令人	c=1 d=1.35497e-15 t=21961
ling shi 	零時	c=2 d=2.44268e-07 t=21961
ling tou 	零頭	c=1 d=0.00160441 t=21961
ling wai 	另外	c=14 d=0.153357 t=21961
ling wo 	令我	c=2 d=0.115903 t=21961
ling xing 	另行	c=1 d=4.63881e-23 t=21961
ling yi 	另一	c=1 d=9.07952e-12 t=21961
ling yi shi jie 	另一世界	c=1 d=1.75091e-31 t=21961
ling yu 	領域	c=1 d=9.83238e-08 t=21961
liu 	六	c=2 d=0.0266539 t=21961
liu 	劉	c=2 d=0.171187 t=21961
liu 	流	c=1 d=2.51271e-16 t=21961
liu cheng 	流程	c=30 d=2.12593 t=21961
liu gan 	流感	c=1 d=2.62515e-31 t=21961
liu ge 	六個	c=1 d=9.33188e-11 t=21961
liu ji tong 	劉吉同	c=17 d=0.115527 t=21961
liu jiao 	六角	c=0 d=7.16557e-22 t=21961
liu liang 	劉亮	c=3 d=3.56388e-10 t=21961
liu liang 	流量	c=9 d=0.00278463 t=21961
liu shi 	六十	c=1 d=1.6453e-05 t=21961
liu shui xian 	流水線	c=1 d=0.000108909 t=21961
liu xia 	留下	c=1 d=2.8025e-06 t=21961
liu xiao shi 	六小時	c=1 d=0.000464291 t=21961
liu xing yu 	流星雨	c=1 d=2.49712e-31 t=21961
liu xing yu 	流行於	c=1 d=2.57317e-31 t=21961
liu yue 	六月	c=1 d=1.16825e-06 t=21961
liu zhong 	六種	c=1 d=0.00856561 t=21961
long 	龍	c=0 d=0.0283654 t=21961
long fan an 	龍翻案	c=1 d=0.285076 t=21961
lou 	嘍	c=1 d=1.41319e-10 t=21961
lou 	樓	c=8 d=2.67496e-10 t=21961
lou wai 	樓外	c=1 d=7.84705e-31 t=21961
lu 	路	c=1 d=0.000765486 t=21961
lu 	魯	c=0 d=0.00238732 t=21961
lu jing 	路徑	c=2 d=0.013912 t=21961
lu ru 	錄入	c=1 d=7.79862e-17 t=21961
lu xian 	路線	c=11 d=3.82124e-10 t=21961
lu xian tu 	路線圖	c=2 d=5.44544e-11 t=21961
lu xun 	魯迅	c=2 d=6.08822e-08 t=21961
lu yi jian kang 	魯益健康	c=1 d=0.0239928 t=21961
lu yin 	錄音	c=1 d=1.96771e-22 t=21961
luan ma 	亂碼	c=2 d=6.19795e-12 t=21961
lun huan 	輪換	c=4 d=3.49776e-11 t=21961
lun tan 	論壇	c=1 d=3.97896e-12 t=21961
lun wen 	論文	c=2 d=2.81959e-05 t=21961
lun xun 	輪詢	c=2 d=0.948401 t=21961
luo hou 	落後	c=2 d=0.00127476 t=21961
luo ji 	邏輯	c=14 d=0.265803 t=21961
luo ji shang 	邏輯上	c=1 d=8.12959e-06 t=21961
luo suo 	羅嗦	c=3 d=0.0270518 t=21961
lv 	率	c=1 d=0.634448 t=21961
lv 	綠	c=1 d=1.16101e-21 t=21961
lv lian 	綠聯	c=1 d=6.00905e-09 t=21961
lv lv 	縷縷	c=1 d=0.00106477 t=21961
lv se 	綠色	c=3 d=1.94542e-30 t=21961
lve guo 	略過	c=5 d=3.85015e-12 t=21961
ma 	嗎	c=35 d=0.363594 t=21961
ma 	碼	c=10 d=0.145188 t=21961
ma biao 	碼錶	c=1 d=7.9084e-05 t=21961
ma fan 	麻煩	c=4 d=0.62698 t=21961
ma ya 	瑪雅	c=1 d=3.00621e-08 t=21961
ma yun 	碼雲	c=2 d=1.52373e-06 t=21961
ma zi da 	馬自達	c=1 d=9.94134e-20 t=21961
mai 	麥	c=1 d=1.51149e-07 t=21961
mai chong 	脈衝	c=0 d=6.51285e-16 t=21961
mai chong biao 	脈衝表	c=2 d=0.00263203 t=21961
man hua 	漫畫	c=1 d=0.0253494 t=21961
man zu 	滿足	c=4 d=0.0146253 t=21961
mang 	忙	c=2 d=1.80491e-06 t=21961
mao 	毛	c=1 d=0.00110822 t=21961
mao bo li 	毛玻璃	c=0 d=1.02741e-25 t=21961
me 	麼	c=2 d=0.0422141 t=21961
mei 	每	c=19 d=1.41225 t=21961
mei 	沒	c=16 d=0.16696 t=21961
mei ban fa 	沒辦法	c=1 d=4.81565e-22 t=21961
mei ceng 	每層	c=1 d=5.72182e-21 t=21961
mei cheng gong 	沒成功	c=1 d=7.86067e-22 t=21961
mei ci 	每次	c=8 d=0.499074 t=21961
mei dao 	每到	c=1 d=2.91578e-31 t=21961
mei dian 	沒電	c=2 d=3.15981e-06 t=21961
mei fa 	沒發	c=5 d=1.31878e-06 t=21961
mei feng 	每逢	c=1 d=4.24244e-31 t=21961
mei ge 	每個	c=5 d=1.26592 t=21961
mei ge 	每隔	c=2 d=0.0220377 t=21961
mei gei 	沒給	c=1 d=0.124307 t=21961
mei guo 	美國	c=1 d=6.85609e-31 t=21961
mei ju 	枚舉	c=3 d=0.0898153 t=21961
mei ri 	每日	c=2 d=0.882031 t=21961
mei shen me 	沒什麼	c=1 d=0.000224867 t=21961
mei shi 	沒事	c=3 d=3.04325e-19 t=21961
mei tian 	每天	c=5 d=1.53889 t=21961
mei tiao 	每條	c=1 d=0.718924 t=21961
mei wen ti 	沒問題	c=5 d=0.582748 t=21961
mei xiang 	沒想	c=1 d=1.80025e-05 t=21961
mei xiang dao 	沒想到	c=1 d=1.62893e-05 t=21961
mei ye 	每頁	c=1 d=2.48728e-14 t=21961
mei ying xiang 	沒影響	c=1 d=0.000190664 t=21961
mei you 	沒有	c=38 d=0.855749 t=21961
mei you ma 	沒有嗎	c=1 d=2.73991e-05 t=21961
mei zai 	沒在	c=0 d=7.84038e-22 t=21961
mei zhao dao 	沒找到	c=1 d=0.143704 t=21961
mei zhen 	每幀	c=5 d=1.24441 t=21961
mei zhong 	每種	c=1 d=0.00856561 t=21961
men 	們	c=6 d=0.0499074 t=21961
men 	門	c=6 d=0.926876 t=21961
mi ma 	密碼	c=4 d=0.00597104 t=21961
mi yao 	密鑰	c=2 d=2.19832e-24 t=21961
mian 	面	c=3 d=2.18898e-11 t=21961
mian 	麪	c=1 d=1.77738e-31 t=21961
mian zi 	面子	c=2 d=4.43315e-11 t=21961
miao 	秒	c=28 d=0.990023 t=21961
miao shu 	描述	c=3 d=1.96398e-13 t=21961
miao zhong 	秒鐘	c=1 d=2.97934e-20 t=21961
mie 	滅	c=2 d=0.143502 t=21961
mie huo 	滅活	c=1 d=1.03632e-08 t=21961
min jian 	民間	c=1 d=2.67818e-31 t=21961
ming 	名	c=1 d=0.00755912 t=21961
ming 	命	c=1 d=8.31529e-07 t=21961
ming 	明	c=1 d=0.00190171 t=21961
ming bai 	明白	c=1 d=1.72637e-12 t=21961
ming cheng 	名稱	c=2 d=1.3545e-11 t=21961
ming ci 	名詞	c=2 d=3.76741e-14 t=21961
ming ling 	命令	c=21 d=0.136095 t=21961
ming ling 	明令	c=1 d=3.42298e-06 t=21961
ming ming 	命名	c=2 d=1.44473e-05 t=21961
ming que 	明確	c=2 d=2.67918e-06 t=21961
ming wei 	名爲	c=2 d=2.16026e-05 t=21961
ming xian 	明顯	c=2 d=0.0141931 t=21961
ming yue 	朙月	c=2 d=0.117068 t=21961
mo 	模	c=1 d=8.44239e-09 t=21961
mo fei 	模飛	c=1 d=1.87175e-22 t=21961
mo he 	魔盒	c=1 d=2.03607e-12 t=21961
mo huang 	莫慌	c=3 d=7.09925e-12 t=21961
mo kuai 	模塊	c=90 d=2.39119 t=21961
mo ming 	莫名	c=3 d=5.19547e-07 t=21961
mo ni 	模擬	c=7 d=6.74483e-15 t=21961
mo ren 	默認	c=29 d=0.957813 t=21961
mo shi 	模式	c=40 d=1.9326 t=21961
mo shu 	模數	c=1 d=2.41213e-06 t=21961
mo tian da lou 	摩天大樓	c=1 d=6.95971e-31 t=21961
mo wei 	末尾	c=2 d=4.90709e-08 t=21961
mo zu 	模組	c=7 d=0.327915 t=21961
mou 	呣	c=8 d=5.87146e-07 t=21961
mou 	某	c=4 d=0.0397558 t=21961
mou ge 	某個	c=4 d=0.656038 t=21961
mou shi 	某時	c=2 d=0.00057019 t=21961
mou xie 	某些	c=4 d=0.0398242 t=21961
mou yi 	某一	c=1 d=0.0403566 t=21961
mu biao 	目標	c=3 d=0.603506 t=21961
mu di 	目的	c=8 d=0.188247 t=21961
mu lu 	目錄	c=1 d=1.53459e-09 t=21961
mu nai yi 	木乃伊	c=1 d=2.3517e-31 t=21961
mu qian 	目前	c=22 d=0.283654 t=21961
mu tong 	木桶	c=0 d=3.63329e-32 t=21961
mu tong li 	木桶裏	c=1 d=3.6515e-31 t=21961
na 	哪	c=1 d=1.02636e-12 t=21961
na 	那	c=11 d=0.030201 t=21961
na ge 	哪個	c=3 d=2.42463e-08 t=21961
na ge 	那個	c=9 d=0.00118265 t=21961
na hong 	納鴻	c=0 d=9.50713e-25 t=21961
na hong ei 	納鴻誒	c=1 d=9.55479e-24 t=21961
na jiu 	那就	c=1 d=1.92377e-21 t=21961
na kuai 	那塊	c=1 d=0.000841773 t=21961
na lai 	拿來	c=2 d=0.0241505 t=21961
na li 	哪裏	c=1 d=7.6468e-21 t=21961
na li 	那裏	c=1 d=3.18332e-05 t=21961
na liang 	哪輛	c=1 d=9.64753e-20 t=21961
na me 	那麼	c=4 d=2.42966e-07 t=21961
na men 	納悶	c=0 d=4.70171e-06 t=21961
na men le 	納悶了	c=1 d=4.72527e-05 t=21961
na ni 	那你	c=1 d=8.17312e-10 t=21961
na pa 	哪怕	c=1 d=0.0023344 t=21961
na ru 	納入	c=1 d=9.42887e-15 t=21961
na shi 	那時	c=1 d=1.68696e-05 t=21961
na tian 	哪天	c=1 d=1.35566e-21 t=21961
na wo 	那我	c=1 d=0.178173 t=21961
na xie 	哪些	c=2 d=1.70919e-12 t=21961
na xie 	那些	c=1 d=2.72625e-05 t=21961
na zhong 	哪種	c=1 d=0.000147748 t=21961
na zhong 	那種	c=1 d=1.64727e-19 t=21961
nai 	奈	c=1 d=1.88895e-12 t=21961
nan 	南	c=4 d=1.74578e-10 t=21961
nan chi 	難吃	c=0 d=0.00361528 t=21961
nan chi le 	難吃了	c=1 d=0.036334 t=21961
